"Jornada","Grupo","Par","Equipa Casa","Equipa Fora","Resultado","X&Y"
"1","A","1","Os 4 no Buraco","Estela Birdies","",""
"1","A","2","Os 4 no Buraco","Estela Birdies","",""
"1","B","1","Equipa Eleven","EMJC","",""
"1","B","2","Equipa Eleven","EMJC","",""
"1","C","1","Birdies e Boggies","JacarÃ©","",""
"1","C","2","Birdies e Boggies","JacarÃ©","",""
"1","C","1","Os Golfinhos","Piratas","",""
"1","C","2","Os Golfinhos","Piratas","",""
"1","D","1","MMLH","School","",""
"1","D","2","MMLH","School","",""
"1","D","1","Golfistas da Madrugada","Old Fashion Team","",""
"1","D","2","Golfistas da Madrugada","Old Fashion Team","",""
"2","A","1","Os Craques","Os 4 no Buraco","",""
"2","A","2","Os Craques","Os 4 no Buraco","",""
"2","B","1","V.T.F.","Red Hot Chilli Putters","",""
"2","B","2","V.T.F.","Red Hot Chilli Putters","",""
"2","C","1","Birdies e Boggies","Os Golfinhos","",""
"2","C","2","Birdies e Boggies","Os Golfinhos","",""
"2","D","1","MMLH","Golfistas da Madrugada","",""
"2","D","2","MMLH","Golfistas da Madrugada","",""
"2","D","1","School","Old Fashion Team","",""
"2","D","2","School","Old Fashion Team","",""
"3","A","1","Os Craques","Estela Birdies","",""
"3","A","2","Os Craques","Estela Birdies","",""
"3","A","1","Os 4 no Buraco","CGGG","",""
"3","A","2","Os 4 no Buraco","CGGG","",""
"3","B","1","Equipa Eleven","Red Hot Chilli Putters","",""
"3","B","2","Equipa Eleven","Red Hot Chilli Putters","",""
"3","C","1","Masters","Os Golfinhos","",""
"3","C","2","Masters","Os Golfinhos","",""
"3","D","1","MMLH","Old Fashion Team","",""
"3","D","2","MMLH","Old Fashion Team","",""
"3","D","1","School","Golfistas da Madrugada","",""
"3","D","2","School","Golfistas da Madrugada","",""
"4","A","1","Os Craques","CGGG","",""
"4","A","2","Os Craques","CGGG","",""
"4","B","1","V.T.F.","EMJC","",""
"4","B","2","V.T.F.","EMJC","",""
"4","C","1","Birdies e Boggies","Masters","",""
"4","C","2","Birdies e Boggies","Masters","",""
"4","C","1","JacarÃ©","Piratas","",""
"4","C","2","JacarÃ©","Piratas","",""
"5","A","1","Estela Birdies","CGGG","",""
"5","A","2","Estela Birdies","CGGG","",""
"5","B","1","V.T.F.","Equipa Eleven","",""
"5","B","2","V.T.F.","Equipa Eleven","",""
"5","B","1","EMJC","Red Hot Chilli Putters","",""
"5","B","2","EMJC","Red Hot Chilli Putters","",""
"1","A","1","Os Craques","Os Ãšltimos","",""
"1","A","2","Os Craques","Os Ãšltimos","",""
"2","A","1","CGGG","Os Ãšltimos","",""
"2","A","2","CGGG","Os Ãšltimos","",""
"4","A","1","Os Ãšltimos","Estela Birdies","",""
"4","A","2","Os Ãšltimos","Estela Birdies","",""
"5","A","1","Os Ãšltimos","Os 4 no Buraco","",""
"5","A","2","Os Ãšltimos","Os 4 no Buraco","",""
"1","B","1","Green Legends","V.T.F.","",""
"1","B","2","Green Legends","V.T.F.","",""
"2","B","1","Green Legends","Equipa Eleven","",""
"2","B","2","Green Legends","Equipa Eleven","",""
"3","B","1","Green Legends","EMJC","",""
"3","B","2","Green Legends","EMJC","",""
"4","B","1","Green Legends","Red Hot Chilli Putters","",""
"4","B","2","Green Legends","Red Hot Chilli Putters","",""
"2","C","1","Masters","Piratas","",""
"2","C","2","Masters","Piratas","",""
"5","C","1","JacarÃ©","Masters","",""
"5","C","2","JacarÃ©","Masters","",""
"3","C","1","Birdies e Boggies","Piratas","",""
"3","C","2","Birdies e Boggies","Piratas","",""
"5","C","1","Os Golfinhos","JacarÃ©","",""
"5","C","2","Os Golfinhos","JacarÃ©","",""
