"ronda","par","home","away","result","score"
"1","1","Os 4 no Buraco","Estela Birdies","",""
"1","2","Os 4 no Buraco","Estela Birdies","",""
"1","1","Equipa Eleven","EMJC","",""
"1","2","Equipa Eleven","EMJC","",""
"1","1","Birdies e Boggies","JacarÃ©","",""
"1","2","Birdies e Boggies","JacarÃ©","",""
"1","1","Os Golfinhos","Piratas","",""
"1","2","Os Golfinhos","Piratas","",""
"1","1","MMLH","School","",""
"1","2","MMLH","School","",""
"1","1","Golfistas da Madrugada","Old Fashion Team","",""
"1","2","Golfistas da Madrugada","Old Fashion Team","",""
"2","1","Os Craques","Os 4 no Buraco","",""
"2","2","Os Craques","Os 4 no Buraco","",""
"2","1","V.T.F.","Red Hot Chilli Putters","",""
"2","2","V.T.F.","Red Hot Chilli Putters","",""
"2","1","Birdies e Boggies","Os Golfinhos","",""
"2","2","Birdies e Boggies","Os Golfinhos","",""
"2","1","MMLH","Golfistas da Madrugada","",""
"2","2","MMLH","Golfistas da Madrugada","",""
"2","1","School","Old Fashion Team","",""
"2","2","School","Old Fashion Team","",""
"3","1","Os Craques","Estela Birdies","",""
"3","2","Os Craques","Estela Birdies","",""
"3","1","Os 4 no Buraco","CGGG","",""
"3","2","Os 4 no Buraco","CGGG","",""
"3","1","Equipa Eleven","Red Hot Chilli Putters","",""
"3","2","Equipa Eleven","Red Hot Chilli Putters","",""
"3","1","Masters","Os Golfinhos","",""
"3","2","Masters","Os Golfinhos","",""
"3","1","MMLH","Old Fashion Team","",""
"3","2","MMLH","Old Fashion Team","",""
"3","1","School","Golfistas da Madrugada","",""
"3","2","School","Golfistas da Madrugada","",""
"4","1","Os Craques","CGGG","",""
"4","2","Os Craques","CGGG","",""
"4","1","V.T.F.","EMJC","",""
"4","2","V.T.F.","EMJC","",""
"4","1","Birdies e Boggies","Masters","",""
"4","2","Birdies e Boggies","Masters","",""
"4","1","JacarÃ©","Piratas","",""
"4","2","JacarÃ©","Piratas","",""
"5","1","Estela Birdies","CGGG","",""
"5","2","Estela Birdies","CGGG","",""
"5","1","V.T.F.","Equipa Eleven","",""
"5","2","V.T.F.","Equipa Eleven","",""
"5","1","EMJC","Red Hot Chilli Putters","",""
"5","2","EMJC","Red Hot Chilli Putters","",""
"1","1","Os Craques","Os Ãšltimos","",""
"1","2","Os Craques","Os Ãšltimos","",""
"2","1","CGGG","Os Ãšltimos","",""
"2","2","CGGG","Os Ãšltimos","",""
"4","1","Os Ãšltimos","Estela Birdies","",""
"4","2","Os Ãšltimos","Estela Birdies","",""
"5","1","Os Ãšltimos","Os 4 no Buraco","",""
"5","2","Os Ãšltimos","Os 4 no Buraco","",""
"1","1","Green Legends","V.T.F.","",""
"1","2","Green Legends","V.T.F.","",""
"2","1","Green Legends","Equipa Eleven","",""
"2","2","Green Legends","Equipa Eleven","",""
"3","1","Green Legends","EMJC","",""
"3","2","Green Legends","EMJC","",""
"4","1","Green Legends","Red Hot Chilli Putters","",""
"4","2","Green Legends","Red Hot Chilli Putters","",""
"2","1","Masters","Piratas","",""
"2","2","Masters","Piratas","",""
"5","1","JacarÃ©","Masters","",""
"5","2","JacarÃ©","Masters","",""
"3","1","Birdies e Boggies","Piratas","",""
"3","2","Birdies e Boggies","Piratas","",""
"5","1","Os Golfinhos","JacarÃ©","",""
"5","2","Os Golfinhos","JacarÃ©","",""
